id;placed_date;status;code;invoice_id;customer_id
1;2022-03-25T06:12:14;COMPLETED;Electronics;57858;1
2;2022-03-25T09:50:14;CANCELLED;withdrawal virtual;42917;2
3;2022-03-24T16:52:34;COMPLETED;compress Soft cross-platform;960;1
4;2022-03-25T03:02:06;COMPLETED;Expanded;88753;1
5;2022-03-24T23:10:16;CANCELLED;Hat;10576;2
6;2022-03-24T23:49:02;PENDING;Regional harness Holy;55347;1
7;2022-03-24T15:49:49;COMPLETED;Decentralized Visionary;88231;2
8;2022-03-24T18:08:48;COMPLETED;Credit Soft Cotton;23331;2
9;2022-03-24T21:37:14;PENDING;Implemented;30578;1
10;2022-03-25T09:49:07;PENDING;solution protocol;72463;1
